Наименование;Количество;Обозначение;Примечание
ESP32 DevKitC V4 (38 pin);5;U1;1 сервер + 4 клиента
LoRa модуль Ra-02 SX1278 SMA 433MHz;5;U2;1 сервер + 4 клиента
MAX98357A I2S Class-D усилитель модуль;5;U3;1 сервер + 4 клиента
Динамик 4 Ом 3 Вт;5;SPK1;1 сервер + 4 клиента
DS3231 RTC модуль ZS-042;1;U4;только сервер
HLK-10M05 AC-DC 5V 2A;5;PS1;1 сервер + 4 клиента (см. примечание ниже)
Модуль AMS1117-3.3 (готовый, 3-pin);5;U5;1 сервер + 4 клиента — заменяет LD1117V33 + C4,C5,C6,C7
Предохранитель 1A (плавкий, в держатель);5;F1;по 1 на линию L перед HLK-10M05
Ферритовая бусина 0805 600R (BLM21 или аналог);5;FB1;развязка +5V аудио-секции
Конденсатор электролитический 100мкФ 10V;5;C1;
Конденсатор керамический 100нФ 0805;15;C2,C3,C9;по 3 шт на плату (C2,C3,C9) — C5,C7 на модуле U5
Конденсатор электролитический 220мкФ 10V;5;C8;bulk у MAX98357A
Конденсатор электролитический 22мкФ 6.3V;5;C10;УСЛОВНО — только если на модуле U5 нет ёмкости >=22мкФ на выходе
Резистор 4.7 кОм 0805;2;R1,R2;только сервер (I2C pullup DS3231)
Резистор 1 МОм 0805;5;R3;1 сервер + 4 клиента
Резистор 10 кОм 0805;10;R6,R7;по 2 шт на плату (NSS pullup, RST pullup) — 1 сервер + 4 клиента
Резистор 300 Ом 0805;4;R8;опционально, статусный LED клиента (GPIO13)
Светодиод 3мм;4;LED1;опционально, статусный LED клиента
